name,family,provenance,ic_1,icir_1,ic_5,ic_20,ic_decay,n_days,ls_sharpe,fold_sharpes,pval,dsr_prob,turnover,pval_pass,verdict,reason,max_corr,delta_sharpe,delta_maxdd,improves_book
mom_vadj_126,momentum,Jansen ML4T,-0.0009198952659255914,-0.1299060600211952,0.019996221937669433,0.0470482608015313,0.019996221937669433,1837,0.3803791027539924,"[0.9183542635222657, -0.9735235908280933, 1.5628065636618198, -0.4766879769308693]",0.8966407497166893,0.0489140952789166,0.017439941798573597,False,REJECTED,failed FDR,,,,False
px_over_ma_126,trendvalue,in-repo alphas.py,-0.0063699216714646,-0.8363277207981853,0.011997072785593034,0.03837567674673227,0.011997072785593034,1838,0.32408343835539954,"[1.1086324164709795, -0.6529603897617833, 0.8035234227578842, -0.43197599650949337]",0.4029705623579942,0.03820457740681399,0.019939829313304094,False,REJECTED,failed FDR,,,,False
mom_21,momentum,Qlib Alpha158,-0.018438747527567176,-2.615437589386219,-0.006874142296635899,0.0065854857534938475,-0.006874142296635899,1942,0.2811931487101765,"[0.5477371677469032, -0.38460771062826055, 0.7427050984934245, -0.3299389444537406]",0.008911320536222123,0.03774591621152429,0.022678631023383133,True,REJECTED,negative OOS fold,,,,False
tsrank_close_126,tsrank,Qlib Alpha158,-0.011624124570873303,-1.70765842948425,0.012434595487815983,0.029806533782699887,0.012434595487815983,1837,0.32281574745842234,"[0.981783506702592, -0.16959864658526014, 0.5874063208477975, -0.32312511225459134]",0.08769973985356772,0.035978019413404005,0.018824252287685903,False,REJECTED,failed FDR,,,,False
mom_vadj_10,momentum,Jansen ML4T,-0.02796851845539096,-4.453917202085037,-0.010064049522145051,0.010128985246918437,-0.010064049522145051,1953,0.2686531505606048,"[0.9233887104817875, -0.331341049469529, 0.29248088337674216, -0.6653642141941408]",8.431762720251257e-06,0.035201457252001245,0.021542307756847155,True,REJECTED,negative OOS fold,,,,False
mom_42,momentum,Qlib Alpha158,-0.013885111078728255,-1.9294199025406567,-0.006900210580138584,-0.0017848253447046005,-0.006900210580138584,1921,0.3071715409234285,"[1.027474503566587, 0.09366869222753187, 0.7817885714352318, -1.3415618185135005]",0.05367875488960361,0.03410451157679684,0.021797361977540734,True,REJECTED,negative OOS fold,,,,False
mom_vadj_42,momentum,Jansen ML4T,-0.013136947854405624,-1.9790469512274416,-0.008532232637129319,-0.004752397066236844,-0.008532232637129319,1921,0.29778545154551445,"[0.9453676086404896, 0.6595516674221679, 0.09358955380147335, -0.7724285956613305]",0.04781072032111977,0.03196677767418088,0.020330889587163642,True,REJECTED,negative OOS fold,,,,False
mom_vadj_252,momentum,Jansen ML4T,0.012332116670054719,1.6258644577387857,0.03789133546428653,0.07531062253694705,0.03789133546428653,1711,0.27488896655803796,"[0.5600974815353138, -0.49178270122779577, 0.43680173829910596, 0.3203730259294118]",0.10397849250593239,0.02975310922330099,0.015701517391966766,False,REJECTED,failed FDR,,,,False
px_over_ma_21,trendvalue,in-repo alphas.py,-0.02963214456239994,-4.291380009013061,-0.004825883385496125,0.0188468577888268,-0.004825883385496125,1943,0.17547177332834957,"[0.19801230588054392, 0.28995580014441197, 0.7868030018935412, -0.49731568828600564]",1.7756614435926465e-05,0.019897431248505237,0.02285918156839614,True,REJECTED,negative OOS fold,,,,False
mom_63,momentum,Qlib Alpha158,-0.010136976834374988,-1.370152442647757,-0.0006185624944311741,0.00032505238150355,-0.0006185624944311741,1900,0.19943031532131567,"[0.9491240920509064, -0.710429807217821, 0.6890318805618352, -0.9063006643167902]",0.17063932020879302,0.019419899709950283,0.020834170908006606,False,REJECTED,failed FDR,,,,False
