sym,iv,strat,CAGR,MaxDD,Sharpe,WR,PF,n,final
ETHUSDT,1h,donchian_20_10,-20.295,-64.276,-0.654,29.344,0.785,259,4595.229
ETHUSDT,1h,donchian_55_20,-9.681,-48.628,-0.229,27.586,0.859,145,7056.46
ETHUSDT,1h,donchian_pyr,-19.809,-64.276,-0.63,29.344,0.789,259,4691.989
ETHUSDT,1h,qb_hybrid,-24.349,-67.325,-0.791,31.615,0.785,291,3842.333
ETHUSDT,1h,qb_hybrid_tr,-16.719,-55.421,-0.502,32.441,0.855,299,5341.17
ETHUSDT,1h,meanrev,-37.66,-81.096,-1.548,52.366,0.655,317,1979.196
ETHUSDT,1h,qb_v1,-39.256,-86.194,-1.265,29.157,0.767,439,1810.803
ETHUSDT,4h,donchian_20_10,11.394,-39.976,0.519,29.31,1.228,58,14465.495
ETHUSDT,4h,donchian_55_20,26.676,-35.23,0.986,46.875,1.756,32,22372.999
ETHUSDT,4h,donchian_pyr,38.373,-30.961,0.999,34.483,1.706,58,30380.913
ETHUSDT,4h,qb_hybrid,19.881,-47.216,0.769,39.062,1.352,64,18597.014
ETHUSDT,4h,qb_hybrid_tr,22.369,-42.048,0.867,40.0,1.44,65,19951.069
ETHUSDT,4h,meanrev,-12.246,-43.466,-0.479,60.227,0.798,88,6395.821
ETHUSDT,4h,qb_v1,15.262,-37.546,0.594,36.17,1.185,94,16232.987
LINKUSDT,1d,donchian_20_10,2.18,-32.882,0.208,33.333,1.157,12,10755.735
LINKUSDT,1d,donchian_55_20,-1.061,-23.414,0.043,28.571,0.854,7,9656.034
LINKUSDT,1d,donchian_pyr,77.548,-26.785,1.171,41.667,6.032,12,69535.835
LINKUSDT,1d,qb_hybrid,0.727,-31.057,0.137,30.769,1.059,13,10247.551
LINKUSDT,1d,qb_hybrid_tr,1.539,-29.747,0.174,30.769,1.125,13,10529.577
LINKUSDT,1d,meanrev,0.131,-8.159,0.052,71.429,1.664,7,10044.217
LINKUSDT,1d,qb_v1,5.559,-28.169,0.346,25.0,1.427,16,11997.696
LINKUSDT,1h,donchian_20_10,-31.432,-77.442,-0.789,33.202,0.761,253,2743.078
LINKUSDT,1h,donchian_55_20,-18.786,-67.771,-0.34,31.333,0.804,150,4904.464
LINKUSDT,1h,donchian_pyr,-8.282,-49.135,0.062,34.387,0.94,253,7435.233
LINKUSDT,1h,qb_hybrid,-35.21,-81.241,-0.891,35.088,0.751,285,2258.773
LINKUSDT,1h,qb_hybrid_tr,-35.32,-81.981,-0.975,34.915,0.748,295,2245.697
LINKUSDT,1h,meanrev,-21.711,-59.429,-0.642,55.294,0.79,255,4321.434
LINKUSDT,1h,qb_v1,-38.879,-83.328,-0.818,32.266,0.759,406,1849.633
LINKUSDT,4h,donchian_20_10,7.409,-41.64,0.377,32.353,1.115,68,12770.281
LINKUSDT,4h,donchian_55_20,24.115,-34.24,0.758,41.667,1.557,36,20869.521
LINKUSDT,4h,donchian_pyr,136.22,-33.028,1.637,47.059,3.78,68,189359.499
LINKUSDT,4h,qb_hybrid,8.507,-40.528,0.405,35.897,1.137,78,13222.691
LINKUSDT,4h,qb_hybrid_tr,10.489,-43.632,0.459,37.975,1.158,79,14067.26
LINKUSDT,4h,meanrev,1.23,-21.419,0.16,64.615,1.037,65,10427.02
LINKUSDT,4h,qb_v1,4.757,-43.773,0.314,34.862,1.053,109,11705.854
LTCUSDT,1d,donchian_20_10,-7.985,-27.581,-0.64,0.0,0.0,6,7549.467
LTCUSDT,1d,donchian_55_20,-3.709,-13.083,-0.259,25.0,0.076,4,8833.259
LTCUSDT,1d,donchian_pyr,26.845,-25.396,0.692,50.0,4.888,6,22328.591
LTCUSDT,1d,qb_hybrid,-6.66,-23.374,-0.668,0.0,0.0,6,7922.89
LTCUSDT,1d,qb_hybrid_tr,-4.829,-18.175,-0.511,16.667,0.144,6,8460.46
LTCUSDT,1d,meanrev,0.505,-13.762,0.106,72.727,1.079,11,10171.617
LTCUSDT,1d,qb_v1,-10.656,-36.04,-0.711,7.692,0.108,13,6830.207
LTCUSDT,1h,donchian_20_10,-37.37,-80.176,-1.182,27.917,0.586,240,2010.933
LTCUSDT,1h,donchian_55_20,-29.388,-71.702,-0.868,23.77,0.56,122,3037.976
LTCUSDT,1h,donchian_pyr,-37.37,-80.176,-1.182,27.917,0.586,240,2010.933
LTCUSDT,1h,qb_hybrid,-37.066,-80.039,-1.106,34.276,0.598,283,2044.574
LTCUSDT,1h,qb_hybrid_tr,-41.177,-84.1,-1.425,32.203,0.524,295,1621.996
LTCUSDT,1h,meanrev,-32.805,-76.057,-1.203,56.028,0.639,282,2559.356
LTCUSDT,1h,qb_v1,-41.152,-84.286,-1.054,29.104,0.689,402,1624.369
LTCUSDT,4h,donchian_20_10,-22.836,-64.732,-0.59,29.825,0.536,57,4119.034
LTCUSDT,4h,donchian_55_20,-21.654,-62.731,-0.584,22.857,0.471,35,4355.942
LTCUSDT,4h,donchian_pyr,20.832,-45.958,0.606,38.596,1.311,57,19106.802
LTCUSDT,4h,qb_hybrid,-14.752,-50.406,-0.341,41.176,0.693,68,5792.206
LTCUSDT,4h,qb_hybrid_tr,-18.948,-57.258,-0.598,40.278,0.587,72,4873.517
LTCUSDT,4h,meanrev,0.553,-31.718,0.133,64.0,1.023,75,10190.328
LTCUSDT,4h,qb_v1,-11.216,-46.732,-0.161,45.882,0.807,85,6646.247
SOLUSDT,1d,donchian_20_10,16.071,-44.828,0.697,33.333,2.038,9,16543.85
SOLUSDT,1d,donchian_55_20,10.971,-41.616,0.567,14.286,1.845,7,14073.176
SOLUSDT,1d,donchian_pyr,129.849,-33.736,1.474,66.667,20.129,9,166333.494
SOLUSDT,1d,qb_hybrid,13.971,-39.312,0.684,33.333,2.214,9,15554.618
SOLUSDT,1d,qb_hybrid_tr,19.13,-31.925,0.923,33.333,2.847,9,18063.662
SOLUSDT,1d,meanrev,-2.548,-15.794,-0.428,50.0,0.552,6,9165.112
SOLUSDT,1d,qb_v1,6.387,-46.848,0.375,18.75,1.324,16,12321.851
SOLUSDT,1h,donchian_20_10,-13.107,-68.404,-0.122,34.263,0.917,251,6178.1
SOLUSDT,1h,donchian_55_20,11.324,-57.022,0.463,34.043,1.077,141,14438.172
SOLUSDT,1h,donchian_pyr,35.504,-42.674,0.805,36.255,1.198,251,28334.069
SOLUSDT,1h,qb_hybrid,-9.143,-68.238,-0.003,38.832,0.952,291,7198.757
SOLUSDT,1h,qb_hybrid_tr,-6.864,-69.631,0.034,37.919,0.965,298,7836.946
SOLUSDT,1h,meanrev,-25.19,-72.235,-0.741,56.884,0.807,276,3697.82
SOLUSDT,1h,qb_v1,-0.479,-72.245,0.246,34.943,0.999,435,9836.734
SOLUSDT,4h,donchian_20_10,-2.726,-59.671,0.131,32.432,0.967,74,9097.544
SOLUSDT,4h,donchian_55_20,11.941,-49.032,0.481,40.909,1.199,44,14683.464
SOLUSDT,4h,donchian_pyr,221.823,-48.541,1.746,47.297,1.637,74,545498.621
SOLUSDT,4h,qb_hybrid,2.632,-52.332,0.254,39.286,1.032,84,10929.585
SOLUSDT,4h,qb_hybrid_tr,4.704,-50.51,0.305,40.0,1.058,85,11703.089
SOLUSDT,4h,meanrev,-3.174,-27.687,-0.059,62.903,0.921,62,8955.13
SOLUSDT,4h,qb_v1,11.251,-54.402,0.464,40.496,1.094,121,14391.695
XRPUSDT,1d,donchian_20_10,19.951,-30.675,0.745,40.0,2.789,10,18487.552
XRPUSDT,1d,donchian_55_20,14.217,-32.151,0.575,40.0,4.354,5,15469.975
XRPUSDT,1d,donchian_pyr,111.102,-24.101,1.411,60.0,8.393,10,124785.687
XRPUSDT,1d,qb_hybrid,18.81,-26.39,0.784,50.0,3.05,12,17900.104
XRPUSDT,1d,qb_hybrid_tr,17.922,-22.56,0.83,50.0,3.481,12,17452.314
XRPUSDT,1d,meanrev,-0.46,-10.471,-0.047,57.143,0.901,7,9845.596
XRPUSDT,1d,qb_v1,20.838,-24.809,0.869,50.0,3.277,14,18941.07
XRPUSDT,1h,donchian_20_10,-10.297,-62.299,-0.084,26.891,0.882,238,6890.274
XRPUSDT,1h,donchian_55_20,25.868,-52.406,0.74,29.752,1.292,121,21983.396
XRPUSDT,1h,donchian_pyr,24.339,-62.299,0.637,27.731,1.236,238,21100.788
XRPUSDT,1h,qb_hybrid,-22.973,-69.92,-0.49,29.104,0.754,268,4087.245
XRPUSDT,1h,qb_hybrid_tr,-12.287,-64.03,-0.175,29.537,0.871,281,6380.09
XRPUSDT,1h,meanrev,-27.447,-71.936,-0.913,56.122,0.759,294,3329.23
XRPUSDT,1h,qb_v1,-16.361,-74.602,-0.176,27.72,0.868,386,5420.373
XRPUSDT,4h,donchian_20_10,25.347,-42.973,0.792,35.294,1.724,51,21661.866
XRPUSDT,4h,donchian_55_20,41.206,-35.372,1.086,33.333,2.264,30,32383.663
XRPUSDT,4h,donchian_pyr,102.005,-28.042,1.504,45.098,2.931,51,110861.633
XRPUSDT,4h,qb_hybrid,14.329,-49.517,0.552,37.705,1.322,61,15811.644
XRPUSDT,4h,qb_hybrid_tr,7.88,-46.086,0.395,38.462,1.209,65,12963.197
XRPUSDT,4h,meanrev,-1.382,-33.508,0.042,63.75,0.979,80,9535.074
XRPUSDT,4h,qb_v1,6.047,-50.649,0.346,26.531,1.059,98,12206.519
